emoji,fr_signification,unicode,en_signification
🍊, tangerine ,\U0001f34a,tangerine
🚕, taxis ,\U0001f695,taxi
🍵, thé ,\U0001f375,tea
🧸, ours en peluche ,\U0001f9f8,teddy bear
☎, téléphone ,\u260e,phone
📞, récepteur téléphonique ,\U0001f4de,telephone receiver
🔭, télescope ,\U0001f52d,telescope
📺, tv ,\U0001f4fa,tv
🕥, clock1030 ,\U0001f565,clock1030
🕙, clock10 ,\U0001f559,clock10
🎾, Tennis ,\U0001f3be,tennis
⛺, tente ,\u26fa,tent
🧪, tube à essai ,\U0001f9ea,test tube
🌡, thermomètre ,\U0001f321,thermometer
🤔, pensant visage ,\U0001f914,thinking face
💭, pensé ballon ,\U0001f4ad,thought balloon
🧵, fil ,\U0001f9f5,thread
🕞, clock330 ,\U0001f55e,clock330
🕒, clock3 ,\U0001f552,clock3
👎, thumbsdown ,\U0001f44e,thumbsdown
👎🏿, pouces vers le bas teint foncé ,\U0001f44e\U0001f3ff,thumbs down dark skin tone
👎🏻, pouces vers le bas teint clair ,\U0001f44e\U0001f3fb,thumbs down light skin tone
👎🏾, pouces vers le bas teint moyen foncé ,\U0001f44e\U0001f3fe,thumbs down medium-dark skin tone
👎🏼, pouces vers le bas peau moyenne lumière ton ,\U0001f44e\U0001f3fc,thumbs down medium-light skin tone
👎🏽, pouces vers le bas le teint moyen ,\U0001f44e\U0001f3fd,thumbs down medium skin tone
👍, thumbsup ,\U0001f44d,thumbsup
👍🏿, pouces vers le haut teint foncé ,\U0001f44d\U0001f3ff,thumbs up dark skin tone
👍🏻, pouces vers le haut teint clair ,\U0001f44d\U0001f3fb,thumbs up light skin tone
👍🏾, pouces vers le haut le teint moyen foncé ,\U0001f44d\U0001f3fe,thumbs up medium-dark skin tone
👍🏼, pouces vers le haut teint moyen lumière ,\U0001f44d\U0001f3fc,thumbs up medium-light skin tone
👍🏽, pouces vers le haut le teint moyen ,\U0001f44d\U0001f3fd,thumbs up medium skin tone
🎫, billet ,\U0001f3ab,ticket
🐯, visage de tigre ,\U0001f42f,tiger face
⏲, minuterie horloge ,\u23f2,timer clock
😫, visage fatigué ,\U0001f62b,tired face
🧰, boîte à outils ,\U0001f9f0,toolbox
🚽, toilettes ,\U0001f6bd,toilet
🍅, tomates ,\U0001f345,tomato
👅, langue ,\U0001f445,tongue
🦷, dent ,\U0001f9b7,tooth
🎩, tophat ,\U0001f3a9,tophat
🌪, nuage avec tornade ,\U0001f32a,cloud with tornado
🖲, boule de commande ,\U0001f5b2,trackball
🚜, tracteur ,\U0001f69c,tractor
™, tm ,\u2122,tm
🚋, voiture tram ,\U0001f68b,tram car
🚊, tram ,\U0001f68a,tram
🚩, fl triangulaire ag sur le poteau ,\U0001f6a9,triangular flag on post
📐, règle triangulaire ,\U0001f4d0,triangular ruler
🔱, trident ,\U0001f531,trident
🚎, trolleybus ,\U0001f68e,trolleybus
🏆, trophée ,\U0001f3c6,trophy
🍹, boisson tropicale ,\U0001f379,tropical drink
🐠, poissons tropicaux ,\U0001f420,tropical fish
🎺, trompette ,\U0001f3ba,trumpet
🌷, tulipe ,\U0001f337,tulip
🥃, verre tumbler ,\U0001f943,tumbler glass
🦃, dinde ,\U0001f983,turkey
🐢, tortue ,\U0001f422,turtle
🕧, clock1230 ,\U0001f567,clock1230
🕛, clock12 ,\U0001f55b,clock12
🕝, clock230 ,\U0001f55d,clock230
💕, deux coeurs ,\U0001f495,two hearts
👬, deux hommes se tenant la main ,\U0001f46c,two men holding hands
🕑, clock2 ,\U0001f551,clock2
👭, deux femmes se tenant la main ,\U0001f46d,two women holding hands
☂, parapluie ,\u2602,umbrella
⛱, parasol sur terre ,\u26f1,umbrella on ground
☔, parapluie avec des gouttes de pluie ,\u2614,umbrella with rain drops
😒, unamused ,\U0001f612,unamused
🦄, visage licorne ,\U0001f984,unicorn face
🔓, Unlock ,\U0001f513,unlock
↕, flèche vers le haut vers le bas ,\u2195,arrow up down
↖, flèche en haut à gauche ,\u2196,arrow upper left
↗, flèche en haut à droite ,\u2197,arrow upper right
⬆, flèche vers le haut ,\u2b06,arrow up
🙃, tête face vers le bas ,\U0001f643,upside  down face
🔼, flèche vers le haut petit ,\U0001f53c,arrow up small
🧛, vampire ,\U0001f9db,vampire
🧛🏿, vampire teint foncé ,\U0001f9db\U0001f3ff,vampire dark skin tone
🧛🏻, vampire teint clair ,\U0001f9db\U0001f3fb,vampire light skin tone
🧛🏾, teint moyen foncé vampire ,\U0001f9db\U0001f3fe,vampire medium-dark skin tone
🧛🏼, teint moyen-lumière vampire ,\U0001f9db\U0001f3fc,vampire medium-light skin tone
🧛🏽, carnation moyenne vampire ,\U0001f9db\U0001f3fd,vampire medium skin tone
🚦, feu vertical ,\U0001f6a6,vertical traffic light
📳, mode de vibration ,\U0001f4f3,vibration mode
✌, v ,\u270c,v
✌🏿, victoire main carnation sombre ,\u270c\U0001f3ff,victory hand dark skin tone
✌🏻, victoire main carnation lumière ,\u270c\U0001f3fb,victory hand light skin tone
✌🏾, victoire main peau moyenne noir ton ,\u270c\U0001f3fe,victory hand medium-dark skin tone
✌🏼, victoire main moyenne lumière teint ,\u270c\U0001f3fc,victory hand medium-light skin tone
✌🏽, victoire teint moyen main ,\u270c\U0001f3fd,victory hand medium skin tone
📹, caméra vidéo ,\U0001f4f9,video camera
🎮, jeu vidéo ,\U0001f3ae,video game
📼, vhs ,\U0001f4fc,vhs
🎻, violon ,\U0001f3bb,violin
🌋, volcan ,\U0001f30b,volcano
🏐, volley-ball ,\U0001f3d0,volleyball
🖖, main levée avec une partie entre les doigts et l'annulaire ,\U0001f596,raised hand with part between middle and ring fingers
🖖🏿, salut vulcain teint foncé ,\U0001f596\U0001f3ff,vulcan salute dark skin tone
🖖🏻, salut vulcain peau claire ton ,\U0001f596\U0001f3fb,vulcan salute light skin tone
🖖🏾, Vulcan salue le teint moyen foncé ,\U0001f596\U0001f3fe,vulcan salute medium-dark skin tone
🖖🏼, Vulcan salue le teint moyen de lumière ,\U0001f596\U0001f3fc,vulcan salute medium-light skin tone
🖖🏽, salut vulcain carnation moyenne ,\U0001f596\U0001f3fd,vulcan salute medium skin tone
🧇, w Affle ,\U0001f9c7,waffle
🌘, lune décroissante croissant ,\U0001f318,waning crescent moon
🌖, lune gibbeuse décroissante ,\U0001f316,waning gibbous moon
⚠, Avertissement ,\u26a0,warning
🗑, wastebasket ,\U0001f5d1,wastebasket
⌚, montre ,\u231a,watch
🐃, buffle d'eau ,\U0001f403,water buffalo
🚾, WC ,\U0001f6be,wc
🌊, océan ,\U0001f30a,ocean
🍉, pastèque ,\U0001f349,watermelon
👋, vague ,\U0001f44b,wave
👋🏿, agitant le teint à la main sombre ,\U0001f44b\U0001f3ff,waving hand dark skin tone
👋🏻, agitant la main teint lumière ,\U0001f44b\U0001f3fb,waving hand light skin tone
👋🏾, agitant la main teint moyen foncé ,\U0001f44b\U0001f3fe,waving hand medium-dark skin tone
👋🏼, agitant moyen de la main teint -light ,\U0001f44b\U0001f3fc,waving hand medium-light skin tone
👋🏽, agitant le teint moyen main ,\U0001f44b\U0001f3fd,waving hand medium skin tone
〰, tableau de bord ondulé ,\u3030,wavy dash
🌒, épilation à la cire croissant de lune ,\U0001f312,waxing crescent moon
🌔, lune ,\U0001f314,moon
🙀, chat cri ,\U0001f640,scream cat
😩, fatigué ,\U0001f629,weary
💒, mariage ,\U0001f492,wedding
☸, roue du dharma ,\u2638,wheel of dharma
♿, fauteuil roulant ,\u267f,wheelchair
⚪, cercle blanc ,\u26aa,white circle
❕, exclamation gris ,\u2755,grey exclamation
🏳, ondulant drapeau blanc ,\U0001f3f3,waving white flag
💮, fleur blanche ,\U0001f4ae,white flower
🦳, cheveux blancs ,\U0001f9b3,white hair
👨‍🦳, blanc homme -haired ,\U0001f468\u200d\U0001f9b3,white-haired man
👩‍🦳, femme aux cheveux blancs ,\U0001f469\u200d\U0001f9b3,white-haired woman
🤍, coeur blanc ,\U0001f90d,white heart
✅, coche blanc ,\u2705,white check mark
⬜, blanc grand carré ,\u2b1c,white large square
◽, blanc moyen petit carré ,\u25fd,white medium small square
◻, carré moyen blanc ,\u25fb,white medium square
⭐, étoile ,\u2b50,star
❔, question gris ,\u2754,grey question
▫, blanc petit carré ,\u25ab,white small square
🔳, bouton carré blanc ,\U0001f533,white square button
🥀, fanée fleur ,\U0001f940,wilted flower
🎐, carillon vent ,\U0001f390,wind chime
🌬, souffle du vent visage ,\U0001f32c,wind blowing face
🍷, verre de vin ,\U0001f377,wine glass
😉, clin d'oeil ,\U0001f609,wink
😜, coincé langue clignant des yeux ,\U0001f61c,stuck out tongue winking eye
🐺, loup ,\U0001f43a,wolf
👩, femme ,\U0001f469,woman
👩‍🎨, femme artiste ,\U0001f469\u200d\U0001f3a8,woman artist
👩🏿‍🎨, femme artiste teint foncé ,\U0001f469\U0001f3ff\u200d\U0001f3a8,woman artist dark skin tone
👩🏻‍🎨, femme artiste teint lumière ,\U0001f469\U0001f3fb\u200d\U0001f3a8,woman artist light skin tone
👩🏾‍🎨, femme teint moyen foncé artiste ,\U0001f469\U0001f3fe\u200d\U0001f3a8,woman artist medium-dark skin tone
👩🏼‍🎨, femme teint moyen-lumière artiste ,\U0001f469\U0001f3fc\u200d\U0001f3a8,woman artist medium-light skin tone
👩🏽‍🎨, femme artiste teint moyen ,\U0001f469\U0001f3fd\u200d\U0001f3a8,woman artist medium skin tone
👩‍🚀, femme astronaute ,\U0001f469\u200d\U0001f680,woman astronaut
👩🏿‍🚀, femme carnation astronaute sombre ,\U0001f469\U0001f3ff\u200d\U0001f680,woman astronaut dark skin tone
👩🏻‍🚀, femme astronaute teint lumière ,\U0001f469\U0001f3fb\u200d\U0001f680,woman astronaut light skin tone
👩🏾‍🚀, femme peau moyenne foncé astronaute ton ,\U0001f469\U0001f3fe\u200d\U0001f680,woman astronaut medium-dark skin tone
👩🏼‍🚀, femme astronaute moyenne lumière teint ,\U0001f469\U0001f3fc\u200d\U0001f680,woman astronaut medium-light skin tone
👩🏽‍🚀, femme teint moyen astronaute ,\U0001f469\U0001f3fd\u200d\U0001f680,woman astronaut medium skin tone
🚴‍♀️, femme vélo ,\U0001f6b4\u200d\u2640\ufe0f,woman biking
🚴🏿‍♀️, femme noire carnation vélo ,\U0001f6b4\U0001f3ff\u200d\u2640\ufe0f,woman biking dark skin tone
🚴🏻‍♀️, femme vélo teint lumière ,\U0001f6b4\U0001f3fb\u200d\u2640\ufe0f,woman biking light skin tone
🚴🏾‍♀️, femme peau moyenne noir vélo ton ,\U0001f6b4\U0001f3fe\u200d\u2640\ufe0f,woman biking medium-dark skin tone
🚴🏼‍♀️, femme teint moyen-lumière vélo ,\U0001f6b4\U0001f3fc\u200d\u2640\ufe0f,woman biking medium-light skin tone
🚴🏽‍♀️, femme vélo carnation moyenne ,\U0001f6b4\U0001f3fd\u200d\u2640\ufe0f,woman biking medium skin tone
⛹️‍♀️, femme balle bondissante ,\u26f9\ufe0f\u200d\u2640\ufe0f,woman bouncing ball
⛹🏿‍♀️, femme rebondir carnation balle sombre ,\u26f9\U0001f3ff\u200d\u2640\ufe0f,woman bouncing ball dark skin tone
⛹🏻‍♀️, femme balle bondissante teint lumière ,\u26f9\U0001f3fb\u200d\u2640\ufe0f,woman bouncing ball light skin tone
⛹🏾‍♀️, femme rebondissant peau moyenne noir tonus balle ,\u26f9\U0001f3fe\u200d\u2640\ufe0f,woman bouncing ball medium-dark skin tone
⛹🏼‍♀️, femme rebondissant carnation moyenne lumière balle ,\u26f9\U0001f3fc\u200d\u2640\ufe0f,woman bouncing ball medium-light skin tone
⛹🏽‍♀️, femme rebondissant carnation milieu de balle ,\u26f9\U0001f3fd\u200d\u2640\ufe0f,woman bouncing ball medium skin tone
🙇‍♀️, femme saluant ,\U0001f647\u200d\u2640\ufe0f,woman bowing
🙇🏿‍♀️, femme saluant noir tonus de la peau ,\U0001f647\U0001f3ff\u200d\u2640\ufe0f,woman bowing dark skin tone
🙇🏻‍♀️, femme s'inclinant le teint clair ,\U0001f647\U0001f3fb\u200d\u2640\ufe0f,woman bowing light skin tone
🙇🏾‍♀️, femme saluant le teint moyen foncé ,\U0001f647\U0001f3fe\u200d\u2640\ufe0f,woman bowing medium-dark skin tone
🙇🏼‍♀️, femme saluant le teint moyen de lumière ,\U0001f647\U0001f3fc\u200d\u2640\ufe0f,woman bowing medium-light skin tone
🙇🏽‍♀️, femme saluant le teint moyen ,\U0001f647\U0001f3fd\u200d\u2640\ufe0f,woman bowing medium skin tone
🤸‍♀️, femme se renversant ,\U0001f938\u200d\u2640\ufe0f,woman cartwheeling
🤸🏿‍♀️, femme renversant sur le teint foncé ,\U0001f938\U0001f3ff\u200d\u2640\ufe0f,woman cartwheeling dark skin tone
🤸🏻‍♀️, femme renversant sur le ton de la peau claire ,\U0001f938\U0001f3fb\u200d\u2640\ufe0f,woman cartwheeling light skin tone
🤸🏾‍♀️, femme se renversant à moyen teint foncé ,\U0001f938\U0001f3fe\u200d\u2640\ufe0f,woman cartwheeling medium-dark skin tone
🤸🏼‍♀️, femme teint moyen-lumière se renversant ,\U0001f938\U0001f3fc\u200d\u2640\ufe0f,woman cartwheeling medium-light skin tone
🤸🏽‍♀️, femme renversant sur le ton de la peau moyenne ,\U0001f938\U0001f3fd\u200d\u2640\ufe0f,woman cartwheeling medium skin tone
🧗‍♀️, escalade femme ,\U0001f9d7\u200d\u2640\ufe0f,woman climbing
🧗🏿‍♀️, femme teint foncé escalade ,\U0001f9d7\U0001f3ff\u200d\u2640\ufe0f,woman climbing dark skin tone
🧗🏻‍♀️, femme escalade teint lumière ,\U0001f9d7\U0001f3fb\u200d\u2640\ufe0f,woman climbing light skin tone
🧗🏾‍♀️, femme teint moyen foncé escalade ,\U0001f9d7\U0001f3fe\u200d\u2640\ufe0f,woman climbing medium-dark skin tone
🧗🏼‍♀️, femme teint moyen-lumière escalade ,\U0001f9d7\U0001f3fc\u200d\u2640\ufe0f,woman climbing medium-light skin tone
🧗🏽‍♀️, femme escalade carnation moyenne ,\U0001f9d7\U0001f3fd\u200d\u2640\ufe0f,woman climbing medium skin tone
👷‍♀️, femme travailleur de la construction ,\U0001f477\u200d\u2640\ufe0f,woman construction worker
👷🏿‍♀️, femme travailleur de la construction teint foncé ,\U0001f477\U0001f3ff\u200d\u2640\ufe0f,woman construction worker dark skin tone
👷🏻‍♀️, femme travailleur de la construction teint clair ,\U0001f477\U0001f3fb\u200d\u2640\ufe0f,woman construction worker light skin tone
👷🏾‍♀️, femme teint moyen foncé travailleur de la construction ,\U0001f477\U0001f3fe\u200d\u2640\ufe0f,woman construction worker medium-dark skin tone
👷🏼‍♀️, femme teint moyen-lumière travailleur de la construction ,\U0001f477\U0001f3fc\u200d\u2640\ufe0f,woman construction worker medium-light skin tone
👷🏽‍♀️, femme teint moyen des travailleurs de la construction ,\U0001f477\U0001f3fd\u200d\u2640\ufe0f,woman construction worker medium skin tone
👩‍🍳, femme cuire ,\U0001f469\u200d\U0001f373,woman cook
👩🏿‍🍳, femme CUISS peau foncée ,\U0001f469\U0001f3ff\u200d\U0001f373,woman cook dark skin tone
👩🏻‍🍳, femme CUISS peau claire ,\U0001f469\U0001f3fb\u200d\U0001f373,woman cook light skin tone
👩🏾‍🍳, femme cuire peau moyenne noir ton ,\U0001f469\U0001f3fe\u200d\U0001f373,woman cook medium-dark skin tone
👩🏼‍🍳, femme cuire le teint moyen lumière ,\U0001f469\U0001f3fc\u200d\U0001f373,woman cook medium-light skin tone
👩🏽‍🍳, femme cuire carnation moyenne ,\U0001f469\U0001f3fd\u200d\U0001f373,woman cook medium skin tone
💃, danseur ,\U0001f483,dancer
💃🏿, femme teint foncé danse ,\U0001f483\U0001f3ff,woman dancing dark skin tone
💃🏻, femme teint lumière danse ,\U0001f483\U0001f3fb,woman dancing light skin tone
💃🏾, femme qui danse moyen foncé teint ,\U0001f483\U0001f3fe,woman dancing medium-dark skin tone
💃🏼, femme teint moyen-lumière danse ,\U0001f483\U0001f3fc,woman dancing medium-light skin tone
💃🏽, femme teint moyen de danse ,\U0001f483\U0001f3fd,woman dancing medium skin tone
👩🏿, femme teint foncé ,\U0001f469\U0001f3ff,woman dark skin tone
🕵️‍♀️, femme détective ,\U0001f575\ufe0f\u200d\u2640\ufe0f,woman detective
🕵🏿‍♀️, femme détective teint foncé ,\U0001f575\U0001f3ff\u200d\u2640\ufe0f,woman detective dark skin tone
🕵🏻‍♀️, femme détective teint lumière ,\U0001f575\U0001f3fb\u200d\u2640\ufe0f,woman detective light skin tone
🕵🏾‍♀️, femme teint moyen noir détective ,\U0001f575\U0001f3fe\u200d\u2640\ufe0f,woman detective medium-dark skin tone
🕵🏼‍♀️, femme détective moyenne lumière teint ,\U0001f575\U0001f3fc\u200d\u2640\ufe0f,woman detective medium-light skin tone
🕵🏽‍♀️, femme teint moyen détective ,\U0001f575\U0001f3fd\u200d\u2640\ufe0f,woman detective medium skin tone
🧝‍♀️, femme elfe ,\U0001f9dd\u200d\u2640\ufe0f,woman elf
🧝🏿‍♀️, femme teint elfe foncé ,\U0001f9dd\U0001f3ff\u200d\u2640\ufe0f,woman elf dark skin tone
🧝🏻‍♀️, femme elfe teint lumière ,\U0001f9dd\U0001f3fb\u200d\u2640\ufe0f,woman elf light skin tone
🧝🏾‍♀️, femme teint moyen elfe noir ,\U0001f9dd\U0001f3fe\u200d\u2640\ufe0f,woman elf medium-dark skin tone
🧝🏼‍♀️, femme teint moyen-lumière elfe ,\U0001f9dd\U0001f3fc\u200d\u2640\ufe0f,woman elf medium-light skin tone
🧝🏽‍♀️, femme teint moyen elfe ,\U0001f9dd\U0001f3fd\u200d\u2640\ufe0f,woman elf medium skin tone
🤦‍♀️, femme facepalming ,\U0001f926\u200d\u2640\ufe0f,woman facepalming
🤦🏿‍♀️, femme facepalming s sombres kin ton ,\U0001f926\U0001f3ff\u200d\u2640\ufe0f,woman facepalming dark skin tone
🤦🏻‍♀️, femme facepalming teint lumière ,\U0001f926\U0001f3fb\u200d\u2640\ufe0f,woman facepalming light skin tone
🤦🏾‍♀️, femme facepalming moyen foncé teint ,\U0001f926\U0001f3fe\u200d\u2640\ufe0f,woman facepalming medium-dark skin tone
🤦🏼‍♀️, femme facepalming teint moyenne lumière ,\U0001f926\U0001f3fc\u200d\u2640\ufe0f,woman facepalming medium-light skin tone
🤦🏽‍♀️, femme facepalming carnation moyenne ,\U0001f926\U0001f3fd\u200d\u2640\ufe0f,woman facepalming medium skin tone
👩‍🏭, femme ouvrier ,\U0001f469\u200d\U0001f3ed,woman factory worker
👩🏿‍🏭, femme ouvrier d'usine teint foncé ,\U0001f469\U0001f3ff\u200d\U0001f3ed,woman factory worker dark skin tone
👩🏻‍🏭, femme ouvrier d'usine teint lumière,\U0001f469\U0001f3fb\u200d\U0001f3ed,woman factory worker light skin tone
👩🏾‍🏭,femme teint moyen foncé ouvrier ,\U0001f469\U0001f3fe\u200d\U0001f3ed,woman factory worker medium-dark skin tone
👩🏼‍🏭, femme teint moyen-léger ouvrier d'usine ,\U0001f469\U0001f3fc\u200d\U0001f3ed,woman factory worker medium-light skin tone
👩🏽‍🏭, femme teint moyen ouvrier d'usine ,\U0001f469\U0001f3fd\u200d\U0001f3ed,woman factory worker medium skin tone
🧚‍♀️, femme fée ,\U0001f9da\u200d\u2640\ufe0f,woman fairy
🧚🏿‍♀️, femme fée teint foncé ,\U0001f9da\U0001f3ff\u200d\u2640\ufe0f,woman fairy dark skin tone
🧚🏻‍♀️, femme fée teint lumière ,\U0001f9da\U0001f3fb\u200d\u2640\ufe0f,woman fairy light skin tone
🧚🏾‍♀️, femme teint moyen foncé fée ,\U0001f9da\U0001f3fe\u200d\u2640\ufe0f,woman fairy medium-dark skin tone
🧚🏼‍♀️, femme fée moyenne lumière teint ,\U0001f9da\U0001f3fc\u200d\u2640\ufe0f,woman fairy medium-light skin tone
🧚🏽‍♀️, femme teint moyen de fées ,\U0001f9da\U0001f3fd\u200d\u2640\ufe0f,woman fairy medium skin tone
👩‍🌾, agricultrice ,\U0001f469\u200d\U0001f33e,woman farmer
👩🏿‍🌾, agricultrice teint foncé ,\U0001f469\U0001f3ff\u200d\U0001f33e,woman farmer dark skin tone
👩🏻‍🌾, agricultrice teint clair ,\U0001f469\U0001f3fb\u200d\U0001f33e,woman farmer light skin tone
👩🏾‍🌾, agricultrice moyen foncé teint ,\U0001f469\U0001f3fe\u200d\U0001f33e,woman farmer medium-dark skin tone
👩🏼‍🌾, agricultrice teint moyen lumière ,\U0001f469\U0001f3fc\u200d\U0001f33e,woman farmer medium-light skin tone
👩🏽‍🌾, femme carnation moyenne fermier ,\U0001f469\U0001f3fd\u200d\U0001f33e,woman farmer medium skin tone
👩‍🚒, femme pompier ,\U0001f469\u200d\U0001f692,woman firefighter
👩🏿‍🚒, pompier femme teint foncé ,\U0001f469\U0001f3ff\u200d\U0001f692,woman firefighter dark skin tone
👩🏻‍🚒, femme pompier teint lumière ,\U0001f469\U0001f3fb\u200d\U0001f692,woman firefighter light skin tone
👩🏾‍🚒, femme teint moyen foncé pompier ,\U0001f469\U0001f3fe\u200d\U0001f692,woman firefighter medium-dark skin tone
👩🏼‍🚒, femme teint moyen-lumière pompier ,\U0001f469\U0001f3fc\u200d\U0001f692,woman firefighter medium-light skin tone
👩🏽‍🚒, femme teint moyen de pompier ,\U0001f469\U0001f3fd\u200d\U0001f692,woman firefighter medium skin tone
🙍‍♀️, femme fronçant les sourcils ,\U0001f64d\u200d\u2640\ufe0f,woman frowning
🙍🏿‍♀️, femme fronçant les sourcils teint foncé ,\U0001f64d\U0001f3ff\u200d\u2640\ufe0f,woman frowning dark skin tone
🙍🏻‍♀️, femme fronçant les sourcils teint lumière ,\U0001f64d\U0001f3fb\u200d\u2640\ufe0f,woman frowning light skin tone
🙍🏾‍♀️, femme fronçant les sourcils teint moyen foncé ,\U0001f64d\U0001f3fe\u200d\u2640\ufe0f,woman frowning medium-dark skin tone
🙍🏼‍♀️, femme fronçant les sourcils teint moyenne lumière ,\U0001f64d\U0001f3fc\u200d\u2640\ufe0f,woman frowning medium-light skin tone
🙍🏽‍♀️, femme fronçant les sourcils teint moyen ,\U0001f64d\U0001f3fd\u200d\u2640\ufe0f,woman frowning medium skin tone
🧞‍♀️, femme genie ,\U0001f9de\u200d\u2640\ufe0f,woman genie
🙅‍♀️, femme faisant un geste NO ,\U0001f645\u200d\u2640\ufe0f,woman gesturing NO
🙅🏿‍♀️, femme faisant des gestes NO teint foncé ,\U0001f645\U0001f3ff\u200d\u2640\ufe0f,woman gesturing NO dark skin tone
🙅🏻‍♀️, femme faisant signe teint NO lumière ,\U0001f645\U0001f3fb\u200d\u2640\ufe0f,woman gesturing NO light skin tone
🙅🏾‍♀️, femme faisant un geste NO moyen foncé tonus de la peau ,\U0001f645\U0001f3fe\u200d\u2640\ufe0f,woman gesturing NO medium-dark skin tone
🙅🏼‍♀️, femme gesturin g NO teint moyenne lumière ,\U0001f645\U0001f3fc\u200d\u2640\ufe0f,woman gesturing NO medium-light skin tone
🙅🏽‍♀️, femme faisant un geste NO moyen teint ,\U0001f645\U0001f3fd\u200d\u2640\ufe0f,woman gesturing NO medium skin tone
🙆‍♀️, femme faisant signe OK ,\U0001f646\u200d\u2640\ufe0f,woman gesturing OK
🙆🏿‍♀️, femme faisant signe carnation OK sombre ,\U0001f646\U0001f3ff\u200d\u2640\ufe0f,woman gesturing OK dark skin tone
🙆🏻‍♀️, femme faisant signe OK teint clair ,\U0001f646\U0001f3fb\u200d\u2640\ufe0f,woman gesturing OK light skin tone
🙆🏾‍♀️, femme faisant des gestes carnation OK mi-noire ,\U0001f646\U0001f3fe\u200d\u2640\ufe0f,woman gesturing OK medium-dark skin tone
🙆🏼‍♀️, femme gesticulant le teint moyen clair OK ,\U0001f646\U0001f3fc\u200d\u2640\ufe0f,woman gesturing OK medium-light skin tone
🙆🏽‍♀️, femme faisant des gestes carnation moyenne OK ,\U0001f646\U0001f3fd\u200d\u2640\ufe0f,woman gesturing OK medium skin tone
💇‍♀️, femme se coupe de cheveux ,\U0001f487\u200d\u2640\ufe0f,woman getting haircut
💇🏿‍♀️, femme obtenir le teint coupe de cheveux noir ,\U0001f487\U0001f3ff\u200d\u2640\ufe0f,woman getting haircut dark skin tone
💇🏻‍♀️, femme se coupe de cheveux teint clair ,\U0001f487\U0001f3fb\u200d\u2640\ufe0f,woman getting haircut light skin tone
💇🏾‍♀️, femme obtenir le teint coupe de cheveux mi-noire ,\U0001f487\U0001f3fe\u200d\u2640\ufe0f,woman getting haircut medium-dark skin tone
💇🏼‍♀️, femme obtenir le teint moyen-léger coupe de cheveux ,\U0001f487\U0001f3fc\u200d\u2640\ufe0f,woman getting haircut medium-light skin tone
💇🏽‍♀️, femme obtenir le teint moyen de coupe ,\U0001f487\U0001f3fd\u200d\u2640\ufe0f,woman getting haircut medium skin tone
💆‍♀️, femme obtenir massage ,\U0001f486\u200d\u2640\ufe0f,woman getting massage
💆🏿‍♀️, femme obtenir le teint foncé massage ,\U0001f486\U0001f3ff\u200d\u2640\ufe0f,woman getting massage dark skin tone
💆🏻‍♀️, femme obtenir le teint lumière massage ,\U0001f486\U0001f3fb\u200d\u2640\ufe0f,woman getting massage light skin tone
💆🏾‍♀️, femme obtenir le teint moyen foncé massage ,\U0001f486\U0001f3fe\u200d\u2640\ufe0f,woman getting massage medium-dark skin tone
💆🏼‍♀️, femme obtenir le teint moyen-léger massage ,\U0001f486\U0001f3fc\u200d\u2640\ufe0f,woman getting massage medium-light skin tone
💆🏽‍♀️, femme obtenir le teint moyen de massage ,\U0001f486\U0001f3fd\u200d\u2640\ufe0f,woman getting massage medium skin tone
🏌️‍♀️, femme golf ,\U0001f3cc\ufe0f\u200d\u2640\ufe0f,woman golfing
🏌🏿‍♀️, femme golf noir tonus de la peau ,\U0001f3cc\U0001f3ff\u200d\u2640\ufe0f,woman golfing dark skin tone
🏌🏻‍♀️, femme golf teint lumière ,\U0001f3cc\U0001f3fb\u200d\u2640\ufe0f,woman golfing light skin tone
🏌🏾‍♀️, femme teint moyen foncé golf ,\U0001f3cc\U0001f3fe\u200d\u2640\ufe0f,woman golfing medium-dark skin tone
🏌🏼‍♀️, femme teint moyen-lumière golf ,\U0001f3cc\U0001f3fc\u200d\u2640\ufe0f,woman golfing medium-light skin tone
🏌🏽‍♀️, femme carnation moyenne de golf ,\U0001f3cc\U0001f3fd\u200d\u2640\ufe0f,woman golfing medium skin tone
💂‍♀️, femme garde ,\U0001f482\u200d\u2640\ufe0f,woman guard
💂🏿‍♀️, femme garde le teint foncé ,\U0001f482\U0001f3ff\u200d\u2640\ufe0f,woman guard dark skin tone
💂🏻‍♀️, femme garde le teint clair ,\U0001f482\U0001f3fb\u200d\u2640\ufe0f,woman guard light skin tone
💂🏾‍♀️, femme garde moyen teint foncé ,\U0001f482\U0001f3fe\u200d\u2640\ufe0f,woman guard medium-dark skin tone
💂🏼‍♀️, w peau moyenne lumière garde oman ton ,\U0001f482\U0001f3fc\u200d\u2640\ufe0f,woman guard medium-light skin tone
💂🏽‍♀️, femme garde le teint moyen ,\U0001f482\U0001f3fd\u200d\u2640\ufe0f,woman guard medium skin tone
👩‍⚕️, femme agent de santé ,\U0001f469\u200d\u2695\ufe0f,woman health worker
👩🏿‍⚕️, femme agent de santé teint foncé ,\U0001f469\U0001f3ff\u200d\u2695\ufe0f,woman health worker dark skin tone
👩🏻‍⚕️, femme agent de santé teint clair ,\U0001f469\U0001f3fb\u200d\u2695\ufe0f,woman health worker light skin tone
👩🏾‍⚕️, femme teint moyen foncé agent de santé ,\U0001f469\U0001f3fe\u200d\u2695\ufe0f,woman health worker medium-dark skin tone
